Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
178,00:00:05.900,1.1930658436213992,2.841203703703704,2.1250617283950617,0.43290895061728396,1.021226851851852
179,00:00:05.933,0.14102366255144033,0.6866898148148148,0.22357253086419754,0.041180555555555554,0.1583179012345679
180,00:00:05.967,0.11123713991769546,0.48993055555555554,0.15967592592592592,0.043194444444444445,0.13084104938271604
181,00:00:06.000,5.430987654320988,7.402083333333334,8.591952160493827,0.865733024691358,6.835277777777778
182,00:00:06.033,2.765164609053498,7.7719907407407405,4.645833333333333,0.6546604938271605,2.995
183,00:00:06.067,0.46279063786008234,2.5303240740740742,0.6822530864197531,0.281766975308642,0.42435185185185187
184,00:00:06.100,54.491471193415634,93.2068287037037,74.09618055555555,52.76177469135803,36.616458333333334
185,00:00:06.133,0.3419418724279835,6.144791666666666,0.1370679012345679,0.09423611111111112,0.7945216049382716
186,00:00:06.167,0.19992798353909466,6.054282407407407,0.09902006172839506,0.05158950617283951,0.44917438271604937
187,00:00:06.200,0.41787294238683126,6.813773148148148,0.1825077160493827,0.12517746913580247,0.9459336419753086
188,00:00:06.233,0.18738168724279836,4.708449074074074,0.07391203703703704,0.0687962962962963,0.41943672839506174
189,00:00:06.267,0.7509130658436214,11.103125,0.3259104938271605,0.275054012345679,1.6517746913580247
190,00:00:06.300,0.27579475308641976,5.247569444444444,0.15987654320987654,0.10611882716049383,0.5613888888888889
191,00:00:06.333,0.22253858024691356,3.966666666666667,0.05402006172839506,0.11142746913580247,0.5021682098765432
192,00:00:06.367,0.10242798353909466,2.4496527777777777,0.013834876543209876,0.05677469135802469,0.23667438271604938
193,00:00:06.400,2.8734053497942385,25.541319444444444,1.6989351851851853,0.8008873456790123,6.120393518518519
194,00:00:06.433,0.8150180041152263,13.247800925925926,0.6129552469135803,0.2215817901234568,1.610516975308642
195,00:00:06.467,0.49149948559670786,10.562037037037037,0.1544212962962963,0.2487577160493827,1.0713194444444445
196,00:00:06.500,0.8812577160493826,8.557060185185184,0.947716049382716,0.1646064814814815,1.5314506172839506
197,00:00:06.533,0.46586419753086417,5.139351851851852,0.3103395061728395,0.18349537037037036,0.9037577160493827
198,00:00:06.567,0.2561445473251029,4.647453703703704,0.13967592592592593,0.10388888888888889,0.5248688271604939
199,00:00:06.600,0.7929681069958847,9.41886574074074,0.4275231481481481,0.31969907407407405,1.6316820987654321
200,00:00:06.633,0.383724279835391,7.4512731481481485,0.2898533950617284,0.13228395061728396,0.7290354938271605
201,00:00:06.667,0.5499228395061728,5.511226851851852,0.27674382716049384,0.24770061728395062,1.125324074074074
202,00:00:06.700,0.445,5.914583333333334,0.40848765432098766,0.13689814814814816,0.7896141975308641
203,00:00:06.733,0.3395961934156378,6.197916666666667,0.1561496913580247,0.15409722222222222,0.7085416666666666
204,00:00:06.767,0.22088477366255144,4.757638888888889,0.10751543209876543,0.092445987654321,0.4626929012345679
205,00:00:06.800,2.6108204732510285,18.058564814814815,2.6347376543209875,0.6414120370370371,4.556311728395062
206,00:00:06.833,1.3741229423868315,14.499189814814814,1.2486728395061728,0.34868827160493826,2.525007716049383
207,00:00:06.867,0.629647633744856,6.977083333333334,0.48618055555555556,0.2359104938271605,1.1668518518518518
208,00:00:06.900,0.5879038065843621,5.162962962962963,0.8521450617283951,0.13126543209876543,0.7803009259259259
